wavel.	cross section	standard dev.

400	6.08e-21	3.0e-21
402	7.00e-21	2.9e-21
404	6.19e-21	2.8e-21
406	9.02e-21	2.7e-21
408	1.42e-20	2.6e-21
410	1.54e-20	2.6e-21
412	1.59e-20	2.5e-21
414	1.95e-20	2.4e-21
416	2.19e-20	2.4e-21
418	2.84e-20	2.3e-21
420	3.889e-20	2.3e-21
422	4.531e-20	2.2e-21
424	5.020e-20	2.2e-21
426	5.693e-20	2.1e-21
428	6.794e-20	2.1e-21
430	7.949e-20	2.1e-21
432	9.238e-20	2.1e-21
434	1.051e-19	2.1e-21
436	1.217e-19	2.1e-21
438	1.439e-19	2.0e-21
440	1.687e-19	2.0e-21
442	1.929e-19	2.0e-21
444	2.149e-19	2.0e-21
446	2.415e-19	2.0e-21
448	2.751e-19	2.0e-21
450	3.107e-19	2.1e-21
452	3.439e-19	2.1e-21
454	3.8426e-19	2.1e-21
456	4.3401e-19	2.1e-21
458	4.8409e-19	2.1e-21
460	5.3426e-19	2.2e-21
462	5.8805e-19	2.2e-21
464	6.4709e-19	2.3e-21
466	7.1239e-19	2.3e-21
468	7.7988e-19	2.4e-21
470	8.5256e-19	2.4e-21
472	9.2831e-19	2.5e-21
474	1.0101e-18	2.6e-21
476	1.0954e-18	2.6e-21
478	1.1823e-18	2.7e-21
480	1.2719e-18	2.8e-21
482	1.3683e-18	2.9e-21
484	1.4634e-18	3.0e-21
486	1.5569e-18	3.1e-21
488	1.6555e-18	3.3e-21
490	1.7579e-18	3.4e-21
492	1.8611e-18	3.6e-21
494	1.9551e-18	3.7e-21
496	2.0538e-18	3.90e-21
498	2.1519e-18	4.09e-21
500	2.2352e-18	4.28e-21

600	4.9354e-19	6.23e-21
602	4.6543e-19	6.23e-21
604	4.2475e-19	6.23e-21
606	4.0013e-19	6.23e-21
608	3.742e-19	6.23e-21
610	3.518e-19	6.23e-21
612	3.222e-19	6.23e-21
614	3.028e-19	6.23e-21
616	2.895e-19	6.23e-21
618	2.791e-19	6.23e-21
620	2.636e-19	6.23e-21
622	2.456e-19	6.23e-21
624	2.352e-19	6.23e-21
626	2.266e-19	6.23e-21
628	2.282e-19	6.23e-21
630	2.126e-19	1.8e-21
632	2.036e-19	1.8e-21
634	1.964e-19	1.8e-21
636	1.872e-19	1.8e-21
638	1.864e-19	1.8e-21
640	1.797e-19	1.8e-21
642	1.783e-19	1.8e-21
644	1.720e-19	1.9e-21
646	1.742e-19	1.9e-21
648	1.706e-19	1.9e-21
650	1.673e-19	1.9e-21
652	1.696e-19	1.9e-21
654	1.694e-19	1.9e-21
656	1.663e-19	1.9e-21
658	1.616e-19	1.9e-21
660	1.651e-19	1.9e-21
662	1.645e-19	1.9e-21
664	1.629e-19	1.9e-21
666	1.639e-19	1.9e-21
668	1.629e-19	2.0e-21
670	1.635e-19	2.0e-21
672	1.620e-19	2.0e-21
674	1.586e-19	2.0e-21
676	1.559e-19	2.0e-21
678	1.585e-19	2.0e-21
680	1.598e-19	2.0e-21
682	1.537e-19	2.0e-21
684	1.505e-19	2.0e-21
686	1.526e-19	2.0e-21
688	1.515e-19	2.0e-21
690	1.476e-19	2.0e-21
692	1.447e-19	2.0e-21
694	1.443e-19	2.0e-21
696	1.456e-19	2.19e-21
698	1.438e-19	2.1e-21
700	1.434e-19	2.1e-21
702	1.396e-19	2.1e-21
704	1.375e-19	2.1e-21
706	1.359e-19	2.2e-21
708	1.348e-19	2.2e-21
710	1.316e-19	2.2e-21
712	1.291e-19	2.2e-21
714	1.279e-19	2.3e-21
716	1.269e-19	2.3e-21
718	1.200e-19	2.3e-21
720	1.136e-19	2.3e-21
722	1.144e-19	2.3e-21
724	1.139e-19	2.3e-21
726	1.098e-19	2.4e-21
728	1.072e-19	2.4e-21
730	1.024e-19	2.4e-21
732	1.011e-19	2.4e-21
734	9.991e-20	2.4e-21
736	9.995e-20	2.5e-21
738	9.528e-20	2.5e-21
740	9.176e-20	2.5e-21
742	9.115e-20	2.6e-21
744	8.301e-20	2.6e-21
746	8.136e-20	2.6e-21
748	8.255e-20	2.6e-21
750	7.903e-20	2.7e-21
752	7.479e-20	2.7e-21
754	7.452e-20	2.7e-21
756	6.921e-20	2.8e-21
758	6.343e-20	2.8e-21
760	6.538e-20	2.8e-21
762	6.794e-20	2.9e-21
764	6.316e-20	2.9e-21
766	6.041e-20	2.9e-21
768	5.858e-20	2.9e-21
770	5.816e-20	3.0e-21
772	5.445e-20	3.0e-21
774	5.020e-20	3.1e-21
776	4.886e-20	3.1e-21
778	4.718e-20	3.1e-21
780	4.240e-20	3.2e-21
782	4.753e-20	3.3e-21
784	4.760e-20	3.3e-21
786	3.816e-20	3.3e-21
788	3.862e-20	3.4e-21
790	3.996e-20	3.4e-21
792	3.300e-20	3.5e-21
794	3.154e-20	3.5e-21
796	3.579e-20	3.6e-21
798	3.713e-20	3.6e-21
800	3.831e-20	3.7e-21
802	3.34e-20	3.7e-21
804	2.60e-20	3.8e-21
806	2.67e-20	3.86e-21
808	2.89e-20	3.90e-21
810	3.04e-20	3.98e-21
812	2.43e-20	4.05e-21
814	2.14e-20	4.09e-21
816	2.01e-20	4.17e-21
818	2.23e-20	4.24e-21
820	2.37e-20	4.32e-21
822	1.72e-20	4.40e-21
824	1.14e-20	4.47e-21
826	9.44e-21	4.55e-21
828	1.72e-20	4.63e-21
830	1.88e-20	4.70e-21
832	1.71e-20	4.66e-21
834	1.30e-20	5.16e-21
836	7.69e-21	5.70e-21
838	2.29e-20	6.31e-21
840	2.99e-20	6.96e-21
842	1.21e-20	7.69e-21
844	2.60e-21	8.53e-21
846	5.35e-21	9.41e-21
848	7.23e-21	1.04e-20
850	8.79e-21	1.15e-20
